feature,correlation_with_any_relief
post_chatgpt,0.17848943067765508
template_phrase_count,0.09928366597850062
legal_term_count,0.08223269040035776
redaction_count,0.08197324410639327
uppercase_ratio,0.07472245670217158
lexical_diversity,-0.0652103523080124
digit_count,0.06154597338305764
hardship_term_count,-0.03120531586842421
politeness_count,0.027051022248896214
money_amount_count,0.02551536902571166
question_count,-0.023856864768109953
urgency_term_count,0.0184986055491989
n_sentences,0.017417396094970315
avg_word_len,0.014967976409858915
exclamation_count,-0.011926805345366075
evidence_term_count,-0.0118739252566685
n_chars,0.009985548843039743
n_words,0.008076929445782737
avg_sentence_len,0.0012135130717818286
anger_term_count,0.0007090452611946567
